ID Empleado,Nombre,Apellido,Departamento,Salario Mensual,Bono Anual,Días de Vacaciones,Calificación de Desempeño
101,Laura,Torres,Cocina,3112,630,19,96
102,María,Martínez,Cocina,2933,864,15,90
103,Luis,Ruiz,Gerencia,3472,638,16,88
104,Elena,Pérez,Recursos Humanos,2988,449,21,76
105,Pedro,López,Gerencia,2999,628,25,78
106,Elena,López,Recursos Humanos,3305,214,15,74
107,Ana,López,Mantenimiento,3357,206,20,62
108,David,Pérez,Limpieza,3186,719,26,79
109,José,López,Gerencia,2238,937,22,86
110,Pedro,López,Limpieza,2263,864,26,94
111,Pedro,Gómez,Recepción,2469,765,15,86
112,Lucía,Rodríguez,Mantenimiento,3255,461,20,78
113,Pedro,Pérez,Marketing,1535,915,15,95
114,Ana,Díaz,Cocina,2630,754,23,94
115,Laura,Torres,Cocina,2123,533,29,85
116,Lucía,Sánchez,Mantenimiento,1881,699,23,68
117,Sofía,González,Marketing,2630,891,23,92
118,Luis,Navarro,Gerencia,2169,493,24,92
119,David,Moreno,Marketing,2960,956,20,90
120,Luis,Pérez,Cocina,1891,253,29,93
121,Juan,Díaz,Mantenimiento,2103,835,27,89
122,Pedro,Jiménez,Limpieza,2992,534,24,88
123,Elena,Ruiz,Marketing,1574,359,27,91
124,María,Jiménez,Cocina,1722,565,16,64
125,Sofía,Díaz,Limpieza,3016,254,19,73
126,Laura,Ruiz,Marketing,2550,430,21,87
127,Diego,Álvarez,Gerencia,2160,966,23,87
128,José,Fernández,Marketing,2714,875,21,86
129,Carlos,Álvarez,Cocina,1767,418,27,91
130,José,Rodríguez,Recursos Humanos,3239,335,26,74
131,Paula,González,Limpieza,2690,662,22,99
132,Lucía,Ruiz,Limpieza,2791,499,23,80
133,David,Martínez,Mantenimiento,2231,224,27,86
134,Sofía,Rodríguez,Recepción,3352,383,29,67
135,José,Ruiz,Limpieza,2881,947,24,72
136,Pedro,Jiménez,Cocina,2894,800,20,94
137,Ana,Navarro,Recepción,2286,307,21,75
138,José,Sánchez,Recursos Humanos,2282,837,24,76
139,Laura,Navarro,Marketing,2202,820,19,90
140,José,Rodríguez,Recursos Humanos,3129,825,24,81
141,Sara,Navarro,Recepción,3267,375,22,75
142,Diego,Torres,Recepción,3149,882,24,85
143,José,González,Marketing,3105,389,27,71
144,Pedro,Jiménez,Mantenimiento,2396,777,18,71
145,Miguel,López,Gerencia,2015,276,24,91
146,Juan,Sánchez,Recursos Humanos,2625,955,16,88
147,Pedro,Ruiz,Recursos Humanos,2751,967,16,95
148,José,Álvarez,Gerencia,3455,874,28,94
149,David,Rodríguez,Marketing,2535,922,18,72
150,Sara,Álvarez,Cocina,2141,462,21,81
151,Laura,Moreno,Recepción,2089,348,23,92
152,Lucía,Gómez,Recursos Humanos,3443,252,24,70
153,Paula,Álvarez,Marketing,2106,461,20,89
154,Laura,López,Limpieza,2569,622,16,64
155,Carlos,Díaz,Marketing,3369,387,25,79
156,Juan,Martínez,Limpieza,1599,701,21,69
157,Lucía,Ruiz,Recursos Humanos,2740,891,25,66
158,Paula,Pérez,Mantenimiento,2930,641,21,64
159,Diego,Ruiz,Recepción,2546,646,16,77
160,Pedro,Martínez,Gerencia,2934,325,28,80
161,Lucía,González,Limpieza,2289,966,23,86
162,María,Ruiz,Limpieza,1958,873,21,73
163,Laura,Fernández,Marketing,3458,427,27,61
164,José,Torres,Limpieza,2778,486,15,94
165,Pedro,Navarro,Recursos Humanos,3174,495,25,63
166,Elena,Fernández,Recursos Humanos,3406,631,18,96
167,Ana,Jiménez,Mantenimiento,1653,334,29,69
168,Diego,Fernández,Marketing,3028,766,18,69
169,Luis,Pérez,Mantenimiento,3112,979,19,82
170,Sara,Pérez,Mantenimiento,2767,365,23,89
171,Miguel,Fernández,Mantenimiento,3376,909,15,67
172,Luis,Álvarez,Gerencia,1844,775,28,72
173,Diego,Fernández,Mantenimiento,1676,780,17,85
174,Ana,Sánchez,Recursos Humanos,1645,294,19,86
175,Lucía,Rodríguez,Limpieza,2856,619,16,92
176,Sara,Torres,Marketing,3062,365,16,85
177,José,Álvarez,Marketing,3139,526,27,74
178,Diego,Álvarez,Marketing,2290,749,28,96
179,Pedro,Álvarez,Cocina,1802,525,20,83
180,Diego,Martínez,Marketing,2296,341,23,64
181,Paula,Díaz,Recepción,1529,702,19,93
182,José,González,Marketing,1557,466,15,88
183,Lucía,Navarro,Recepción,3061,789,23,68
184,Elena,Navarro,Cocina,3332,417,19,79
185,Lucía,Gómez,Mantenimiento,1992,428,15,93
186,Luis,Fernández,Recepción,1593,593,24,84
187,Ana,Álvarez,Recursos Humanos,3325,303,25,98
188,Carlos,Álvarez,Marketing,1910,248,22,76
189,Elena,Ruiz,Cocina,1642,918,19,79
190,Ana,Fernández,Cocina,2940,924,15,88
191,Juan,Fernández,Mantenimiento,2727,293,28,90
192,Carlos,Ruiz,Limpieza,3159,973,16,90
193,Ana,López,Recepción,1771,515,19,84
194,Carlos,Navarro,Gerencia,2573,959,22,70
195,Sara,Moreno,Recursos Humanos,2697,621,27,98
196,Juan,Martínez,Recepción,3210,632,22,69
197,Elena,González,Mantenimiento,3227,590,23,92
198,Carlos,Díaz,Recepción,2783,511,24,63
199,Ana,Martínez,Recepción,1928,280,22,75
200,Lucía,Pérez,Recepción,2624,408,29,61
201,Miguel,Rodríguez,Recursos Humanos,2601,976,26,60
202,Elena,Gómez,Limpieza,3466,886,26,98
203,Diego,Gómez,Marketing,2731,677,16,72
204,Carlos,Gómez,Gerencia,1798,533,29,87
205,Miguel,Jiménez,Recepción,2301,812,22,97
206,Paula,Rodríguez,Cocina,1790,686,22,74
207,José,Pérez,Mantenimiento,2010,527,27,76
208,Paula,Martínez,Limpieza,1736,746,15,86
209,Lucía,Sánchez,Recepción,1802,696,16,80
210,Carlos,Rodríguez,Mantenimiento,2027,996,25,88
211,Pedro,Sánchez,Recepción,2609,388,21,92
212,Sara,Álvarez,Mantenimiento,1609,204,29,75
213,Paula,González,Cocina,2549,395,16,74
214,David,Torres,Marketing,3465,613,19,86
215,Lucía,Jiménez,Cocina,2492,511,26,82
216,María,Sánchez,Limpieza,3379,342,20,72
217,Juan,González,Limpieza,3040,452,26,83
218,David,Moreno,Recepción,2825,258,18,72
219,Lucía,Díaz,Recursos Humanos,3028,804,23,97
220,Lucía,Ruiz,Recursos Humanos,2411,661,21,99
221,Juan,Moreno,Marketing,3079,641,25,67
222,Miguel,Ruiz,Marketing,3270,839,17,97
